sample,range,region,colony,site,treatment,bodypart,original_name,short_name
pathway_AR_A,native,AR,AR20,OTA,control,head,AR_2,AR_A
pathway_AR_B,native,AR,AR24,UBA,control,head,AR_4,AR_B
pathway_CA_A,introduced,CA,CA4,BLB,control,head,CA_6,CA_A
pathway_CA_B,introduced,CA,CA7,RCH,control,head,CA_7,CA_B
pathway_AU_A,introduced,AU,AU8,CLI,control,head,AU_10,AU_A
pathway_AU_B,introduced,AU,AU10,PHI,control,head,AU_11,AU_B
pathway_AU_C,introduced,AU,AU11,MON,control,head,AU_12,AU_C
pathway_NZ_A,introduced,NZ,NZ1,HAS,control,head,NZ_13,NZ_A
pathway_NZ_B,introduced,NZ,NZ5,PET,control,head,NZ_14,NZ_B
pathway_NZ_C,introduced,NZ,NZ13,TAR,control,head,NZ_16,NZ_C
pathway_EU_A,introduced,EU,NA,PLE,NA,head,EU_18,EU_A
pathway_EU_B,introduced,EU,NA,TLS,NA,head,EU_20,EU_B
pathway_AR_C,native,AR,AR28,VLO,control,head,AR_22,AR_C
pathway_AR_D,native,AR,AR32,ROS,control,head,AR_24,AR_D
pathway_CA_C,introduced,CA,CA13,BLB,control,head,CA_26,CA_C
pathway_CA_D,introduced,CA,CA16,CAL,control,head,CA_27,CA_D
pathway_CA_E,introduced,CA,CA28,OAK,control,head,CA_28,CA_E
pathway_AU_D,introduced,AU,AU22,MON,control,head,AU_30,AU_D
pathway_NZ_D,introduced,NZ,NZ21,PET,control,head,NZ_34,NZ_D
pathway_NZ_E,introduced,NZ,NZ30,HAS,control,head,NZ_36,NZ_E
pathway_EU_C,introduced,EU,NA,TLS,NA,head,EU_40,EU_C
pathway_AR_LS_A,native,AR,AR15,OTA,low_sugar,head,AR_LS_42,AR_LS_A
pathway_AR_LSOA_A,native,AR,AR27,OTA,OA_low_sugar,head,AR_LSOA_46,AR_LSOA_A
pathway_CA_LS_A,introduced,CA,CA23,RCH,low_sugar,head,CA_LS_50,CA_LS_A
pathway_CA_LSOA_A,introduced,CA,CA26,RCH,OA_low_sugar,head,CA_LSOA_52,CA_LSOA_A
pathway_AU_LS_A,introduced,AU,AU24,STA,low_sugar,head,AU_LS_54,AU_LS_A
pathway_AU_LSOA_A,introduced,AU,AU6,STA,OA_low_sugar,head,AU_LSOA_55,AU_LSOA_A
pathway_AU_LSOA_B,introduced,AU,AU27,STA,OA_low_sugar,head,AU_LSOA_56,AU_LSOA_B
pathway_NZ_LS_A,introduced,NZ,NZ14,HAS,low_sugar,head,NZ_LS_57,NZ_LS_A
pathway_NZ_LS_B,introduced,NZ,NZ25,HAS,low_sugar,head,NZ_LS_58,NZ_LS_B
