"","gene_name","gene_descr","Analysis"
"4","LOC105680079","uncharacterized LOC105680079","Both"
"5","LOC105680078","thyrotropin-releasing hormone receptor-like","Both"
"7","LOC105672502","alpha-tocopherol transfer protein-like","Both"
"13","LOC105667802","glycine receptor subunit alpha-4","Both"
"14","LOC105678362","uncharacterized LOC105678362","Both"
"16","LOC105673924","multifunctional protein ADE2","Both"
"17","LOC105670460","MFS-type transporter SLC18B1-like","Both"
"18","LOC105669932","","Both"
"22","LOC105668245","glucose dehydrogenase [FAD, quinone]-like","Both"
"29","LOC105670859","leucine-rich repeat-containing protein egg-6-like","Both"
"30","LOC105670858","leucine-rich repeat-containing protein egg-6-like","Both"
"32","LOC105675069","cytochrome P450 9e2-like","Both"
"35","LOC105671134","cytosol aminopeptidase-like","Both"
"44","LOC105678761","serine protease inhibitor 3/4-like","Both"
"47","LOC105669067","C-C chemokine receptor type 3-like","Both"
"48","LOC105669068","uncharacterized LOC105669068","Both"
"49","LOC105674122","integrin beta-PS-like","Both"
"50","LOC105678253","pancreatic triacylglycerol lipase-like","Both"
"53","LOC105668121","protein toll-like","Both"
"56","LOC105673714","opsin, ultraviolet-sensitive","Both"
"63","LOC105674733","opsin, blue-sensitive","Both"
"64","LOC105668760","probable chitinase 2","Both"
"69","LOC105670278","uncharacterized LOC105670278","Both"
"71","LOC105678183","uncharacterized LOC105678183","Both"
"75","LOC105669536","uncharacterized LOC105669536","Both"
"771","LOC105669641","uncharacterized LOC105669641","Both"
"79","LOC105672628","esterase FE4-like","Both"
"90","LOC105677743","rhodopsin-like","Both"
"92","LOC105677722","insulin-like growth factor-binding protein complex acid labile subunit","Both"
"94","LOC105668771","cytochrome P450 6A1-like","Both"
"99","LOC105669346","C-C chemokine receptor type 3-like","Both"
"100","LOC105669353","thyrotropin-releasing hormone receptor-like","Both"
"102","LOC105669463","cryptochrome-1-like","Both"
"103","LOC105671978","uncharacterized LOC105671978","Both"
"105","LOC105673537","farnesol dehydrogenase-like","Both"
"106","LOC105676169","catalase-like","Both"
"109","LOC105676633","MAM and LDL-receptor class A domain-containing protein 2-like","Both"
"111","LOC105669468","transient receptor potential protein","Both"
"113","LOC105669471","uncharacterized LOC105669471","Both"
"114","LOC105669435","poly(U)-specific endoribonuclease homolog","Both"
"125","LOC105669096","spondin-1","Both"
"127","LOC105679645","rhodopsin","Both"
"129","LOC105672436","peroxidase","Both"
"134","LOC105674666","cytochrome P450 6j1-like","Both"
"135","LOC105673448","cytochrome P450 6k1-like","Both"
"140","LOC105669988","neither inactivation nor afterpotential protein G","Both"
"144","LOC105673413","thyrotropin-releasing hormone receptor-like","Both"
"1471","LOC105676982","lipase member H-B-like","Both"
"151","LOC105671724","uncharacterized LOC105671724","Both"
"1521","LOC105677039","cytochrome P450 4C1-like","Both"
"153","LOC105677041","cytochrome P450 4C1-like","Both"
"158","LOC105673325","retinol dehydrogenase 11-like","Both"
"168","LOC105678050","uncharacterized LOC105678050","Both"
"171","LOC105668923","cathepsin L","Both"
"182","LOC105667877","retinol dehydrogenase 11-like","Both"
"189","LOC105672335","uncharacterized LOC105672335","Both"
"191","LOC105668703","membrane metallo-endopeptidase-like 1","Both"
"198","LOC105676327","insulin-like growth factor-binding protein complex acid labile subunit","Both"
"200","LOC105672087","lipid storage droplets surface-binding protein 1","Both"
"207","LOC105678691","scavenger receptor class B member 1-like","Both"
"210","LOC105669649","C-C chemokine receptor type 1-like","Both"
"211","LOC105670906","leucine-rich repeat transmembrane neuronal protein 2-like","Both"
"215","LOC105677769","uncharacterized LOC105677769","Both"
"222","LOC105679991","lysozyme-like","Both"
"225","LOC105676298","peptidoglycan-recognition protein 2","Both"
"232","LOC105668269","uncharacterized LOC105668269","Both"
"234","LOC105667404","uncharacterized proline-rich protein-like","Both"
"235","LOC105667357","uncharacterized LOC105667357","Both"
"237","LOC105674712","protein toll-like","Both"
"238","LOC105672003","uncharacterized LOC105672003","Both"
"242","LOC105670857","leucine-rich repeat-containing protein egg-6","Both"
"243","LOC105674427","beta-1,3-glucan-binding protein-like","Both"
"244","LOC105674426","beta-1,3-glucan-binding protein-like","Both"
"245","LOC105674418","beta-1,3-glucan-binding protein-like","Both"
"253","LOC105673315","pheromone-binding protein Gp-9-like","Both"
"258","LOC105676304","uncharacterized LOC105676304","Both"
"259","LOC105679739","uncharacterized LOC105679739","Both"
"260","LOC105667961","uncharacterized LOC105667961","Both"
"267","LOC105679352","uncharacterized LOC105679352","Both"
"270","LOC105671857","uncharacterized LOC105671857","Both"
"276","LOC105669753","uncharacterized LOC105669753","Both"
"280","LOC105678521","guanine nucleotide-binding protein subunit beta-2","Both"
"284","LOC105673753","uncharacterized LOC105673753","Both"
"289","LOC105673048","uncharacterized LOC105673048","Both"
"292","LOC105668394","arrestin homolog","Both"
"296","LOC105675412","lysozyme-like","Both"
"300","LOC105669426","uncharacterized LOC105669426","Both"
"308","LOC105677727","venom acid phosphatase Acph-1-like","Both"
"320","LOC105667834","fatty acid synthase-like","Both"
"326","LOC105672477","phosrestin-2","Both"
"329","LOC105669917","MD-2-related lipid-recognition protein-like","Both"
"336","LOC105675038","transient-receptor-potential-like protein","Both"
"337","LOC105678609","uncharacterized LOC105678609","Both"
"338","LOC105669821","aminoacylase-1","Both"
"341","LOC105677139","transmembrane protease serine 9-like","Both"
"342","LOC105677187","serine protease easter-like","Both"
"345","LOC105672305","cytochrome P450 4C1-like","Both"
"351","LOC105674278","chaoptin","Both"
"364","LOC105668990","FMRFamide receptor-like","Both"
"366","LOC105669003","uncharacterized LOC105669003","Both"
"369","LOC105673752","endothelin-converting enzyme 1-like","Both"
"376","LOC105674719","","Both"
"77","LOC105668988","uncharacterized LOC105668988","DGE"
"1175","LOC105670015","uncharacterized LOC105670015","DGE"
"2054","LOC105680087","gamma-glutamyltranspeptidase 1-like","DGE"
"2495","LOC105667895","methylated-DNA--protein-cysteine methyltransferase","DGE"
"3391","LOC105672524","alpha-tocopherol transfer protein-like","DGE"
"3695","LOC105668418","multidrug resistance-associated protein 7","DGE"
"3880","LOC105668131","uncharacterized LOC105668131","DGE"
"4276","LOC105669390","protein NDUFAF4 homolog","DGE"
"5155","LOC105676651","odorant receptor 13a-like","DGE"
"5209","LOC105670228","TFIIH basal transcription factor complex helicase XPD subunit","DGE"
"5482","LOC105671035","golgin-45","DGE"
"5683","LOC105669008","uncharacterized LOC105669008","DGE"
"6072","LOC105667589","uncharacterized LOC105667589","DGE"
"6528","LOC105680010","uncharacterized LOC105680010","DGE"
"6530","LOC105680014","uncharacterized LOC105680014","DGE"
"6624","LOC105675231","thyrotropin-releasing hormone receptor-like","DGE"
"7054","LOC105671067","uncharacterized LOC105671067","DGE"
"7449","LOC105668233","transcription termination factor 2-like","DGE"
"8561","LOC105669846","3-ketoacyl-CoA thiolase, mitochondrial-like","DGE"
"9002","LOC105674244","uncharacterized LOC105674244","DGE"
"9261","LOC105667369","uncharacterized LOC105667369","DGE"
"9704","LOC105669575","uncharacterized LOC105669575","DGE"
"9787","LOC105675463","uncharacterized LOC105675463","DGE"
"10016","LOC105680059","zinc finger BED domain-containing protein 1-like","DGE"
"10644","LOC105670704","short-chain dehydrogenase/reductase family 16C member 6-like","DGE"
"10745","LOC105680182","protein aveugle","DGE"
"11520","LOC105677318","RCC1 and BTB domain-containing protein 1-like","DGE"
"11775","LOC105671563","uncharacterized LOC105671563","DGE"
"1","LOC105669836","protein 5NUC-like","WGCNA"
"2","LOC105669837","apyrase","WGCNA"
"3","LOC105676208","uncharacterized LOC105676208","WGCNA"
"6","LOC105668367","uncharacterized protein PB18E9.04c","WGCNA"
"8","LOC105671050","GATA-binding factor A-like","WGCNA"
"9","LOC105676355","diacylglycerol O-acyltransferase 1","WGCNA"
"10","LOC105670353","sodium-dependent nutrient amino acid transporter 1-like","WGCNA"
"11","LOC105677989","uncharacterized LOC105677989","WGCNA"
"12","LOC105677431","SEC14-like protein 2","WGCNA"
"15","LOC105672304","uncharacterized LOC105672304","WGCNA"
"19","LOC105671136","serine protease 52-like","WGCNA"
"20","LOC105673881","beta-1,3-glucan-binding protein-like","WGCNA"
"21","LOC105679939","short-chain dehydrogenase/reductase family 16C member 6","WGCNA"
"23","LOC105677959","2-oxoglutarate dehydrogenase, mitochondrial-like","WGCNA"
"24","LOC105667665","ABC transporter G family member 23-like","WGCNA"
"25","LOC105675788","transient receptor potential channel pyrexia-like","WGCNA"
"26","LOC105672000","luciferin 4-monooxygenase-like","WGCNA"
"27","LOC105668563","uncharacterized LOC105668563","WGCNA"
"28","LOC105677149","uncharacterized LOC105677149","WGCNA"
"31","LOC105670035","fatty acyl-CoA reductase 1-like","WGCNA"
"33","LOC105671265","retinol dehydrogenase 12","WGCNA"
"34","LOC105678796","uncharacterized LOC105678796","WGCNA"
"36","LOC105678784","protein toll-like","WGCNA"
"37","LOC105679915","myosin-IB","WGCNA"
"38","LOC105678163","uncharacterized LOC105678163","WGCNA"
"39","LOC105669128","protein transport protein Sec23A","WGCNA"
"40","LOC105677178","alpha-2-macroglobulin-like protein 1","WGCNA"
"41","LOC105674871","fatty-acid amide hydrolase 2-like","WGCNA"
"42","LOC105679173","histidine decarboxylase","WGCNA"
"43","LOC105667296","uncharacterized LOC105667296","WGCNA"
"45","LOC105680157","proton-coupled amino acid transporter 1","WGCNA"
"46","LOC105669066","FMRFamide receptor-like","WGCNA"
"51","LOC105668616","uncharacterized LOC105668616","WGCNA"
"52","LOC105677232","peroxisomal hydratase-dehydrogenase-epimerase-like","WGCNA"
"54","LOC105668152","uncharacterized LOC105668152","WGCNA"
"55","LOC105670912","RNA-binding protein 47-like","WGCNA"
"57","LOC105677851","uncharacterized LOC105677851","WGCNA"
"58","LOC105672877","uncharacterized LOC105672877","WGCNA"
"59","LOC105668846","uncharacterized LOC105668846","WGCNA"
"60","LOC105678525","leukocyte elastase inhibitor","WGCNA"
"61","LOC105670668","cytochrome P450 4C1-like","WGCNA"
"62","LOC105677374","uncharacterized LOC105677374","WGCNA"
"65","LOC105679415","uncharacterized LOC105679415","WGCNA"
"66","LOC105671325","poly(U)-specific endoribonuclease homolog","WGCNA"
"67","LOC105673034","PI-PLC X domain-containing protein 1-like","WGCNA"
