Tags,GO ID,GO Name,GO Category,Size,ES,NES,Nominal p-val,FDR q-val,FWER p-val,Rank at Max,Leading Edge
"[TOP, DETAILS]",GO:0006869,lipid transport,BIOLOGICAL_PROCESS,11,0.60504204,2.3041704,0,0.18706241,0.139,57,"tags=100%, list=44%, signal=163%"
[DETAILS],GO:0010160,formation of animal organ boundary,BIOLOGICAL_PROCESS,3,-0.88188976,-1.9079355,0.003875969,0.29636765,0.998,19,"tags=100%, list=15%, signal=114%"
[DETAILS],GO:0048859,formation of anatomical boundary,BIOLOGICAL_PROCESS,3,-0.88188976,-1.9154917,0.00204918,0.30129284,0.997,19,"tags=100%, list=15%, signal=114%"
[DETAILS],GO:0042659,regulation of cell fate specification,BIOLOGICAL_PROCESS,3,-0.88188976,-1.8921151,0.01026694,0.30798277,0.998,19,"tags=100%, list=15%, signal=114%"
[DETAILS],GO:0008347,glial cell migration,BIOLOGICAL_PROCESS,3,-0.88188976,-1.9157842,0.00212766,0.32587358,0.997,19,"tags=100%, list=15%, signal=114%"
[DETAILS],GO:0001818,negative regulation of cytokine production,BIOLOGICAL_PROCESS,16,-0.41995615,-1.9164536,0.005988024,0.35333452,0.997,75,"tags=94%, list=58%, signal=194%"
[DETAILS],GO:0007432,salivary gland boundary specification,BIOLOGICAL_PROCESS,3,-0.88188976,-1.921578,0.007984032,0.37446877,0.995,19,"tags=100%, list=15%, signal=114%"
[DETAILS],GO:0035385,Roundabout signaling pathway,BIOLOGICAL_PROCESS,3,-0.88188976,-1.9498553,0,0.37753958,0.983,19,"tags=100%, list=15%, signal=114%"
[DETAILS],GO:0016199,axon midline choice point recognition,BIOLOGICAL_PROCESS,3,-0.88188976,-1.9279268,0.00203252,0.39579266,0.992,19,"tags=100%, list=15%, signal=114%"
[DETAILS],GO:0007509,mesoderm migration involved in gastrulation,BIOLOGICAL_PROCESS,3,-0.88188976,-1.9563205,0.003984064,0.41240048,0.975,19,"tags=100%, list=15%, signal=114%"
[DETAILS],GO:0010453,regulation of cell fate commitment,BIOLOGICAL_PROCESS,3,-0.88188976,-1.9589443,0.00998004,0.46898514,0.972,19,"tags=100%, list=15%, signal=114%"
