ids,region,type,range,colony,site,treatment,original_name,short_name,label
pathway_AR_A,AR,heads,native,AR20,OTA,control,AR_2,AR_A,AROTA-1
pathway_AR_B,AR,heads,native,AR24,UBA,control,AR_4,AR_B,ARUBA-2
pathway_CA_A,CA,heads,invasive,CA4,BLB,control,CA_6,CA_A,CABLB-1
pathway_CA_B,CA,heads,invasive,CA7,RCH,control,CA_7,CA_B,CARCH-1
pathway_AU_A,AU,heads,invasive,AU8,CLI,control,AU_10,AU_A,AUCLI-1
pathway_AU_B,AU,heads,invasive,AU10,PHI,control,AU_11,AU_B,AUPHI-1
pathway_AU_C,AU,heads,invasive,AU11,MON,control,AU_12,AU_C,AUMON-1
pathway_NZ_A,NZ,heads,invasive,NZ1,HAS,control,NZ_13,NZ_A,NZHAS-1
pathway_NZ_B,NZ,heads,invasive,NZ5,PET,control,NZ_14,NZ_B,NZPET-1
pathway_NZ_C,NZ,heads,invasive,NZ13,TAR,control,NZ_16,NZ_C,NZTAR-1
pathway_EU_A,EU,heads,invasive,NA,PLE,NA,EU_18,EU_A,EUPLE-1
pathway_EU_B,EU,heads,invasive,NA,TLS,NA,EU_20,EU_B,EUTLS-1
pathway_AR_C,AR,heads,native,AR28,VLO,control,AR_22,AR_C,ARVLO-1
pathway_AR_D,AR,heads,native,AR32,ROS,control,AR_24,AR_D,ARROS-2
pathway_CA_C,CA,heads,invasive,CA13,BLB,control,CA_26,CA_C,CABLB-2
pathway_CA_D,CA,heads,invasive,CA16,CAL,control,CA_27,CA_D,CACAL-1
pathway_CA_E,CA,heads,invasive,CA28,OAK,control,CA_28,CA_E,CAOAK-1
pathway_AU_D,AU,heads,invasive,AU22,MON,control,AU_30,AU_D,AUMON-2
pathway_NZ_D,NZ,heads,invasive,NZ21,PET,control,NZ_34,NZ_D,NZPET-2
pathway_NZ_E,NZ,heads,invasive,NZ30,HAS,control,NZ_36,NZ_E,NZHAS-2
pathway_EU_C,EU,heads,invasive,NA,TLS,NA,EU_40,EU_C,EUTLS-2
pathway_AR_LS_A,AR,heads,native,AR15,OTA,low_sugar,AR_LS_42,AR_LS_A,AROTA-2
pathway_AR_LSOA_A,AR,heads,native,AR27,OTA,OA_low_sugar,AR_LSOA_46,AR_LSOA_A,AROTA-3
pathway_CA_LS_A,CA,heads,invasive,CA23,RCH,low_sugar,CA_LS_50,CA_LS_A,CARCH-2
pathway_CA_LSOA_A,CA,heads,invasive,CA26,RCH,OA_low_sugar,CA_LSOA_52,CA_LSOA_A,CARCH-3
pathway_AU_LS_A,AU,heads,invasive,AU24,STA,low_sugar,AU_LS_54,AU_LS_A,AUSTA-1
pathway_AU_LSOA_A,AU,heads,invasive,AU6,STA,OA_low_sugar,AU_LSOA_55,AU_LSOA_A,AUSTA-2
pathway_AU_LSOA_B,AU,heads,invasive,AU27,STA,OA_low_sugar,AU_LSOA_56,AU_LSOA_B,AUSTA-3
pathway_NZ_LS_A,NZ,heads,invasive,NZ14,HAS,low_sugar,NZ_LS_57,NZ_LS_A,NZHAS-3
pathway_NZ_LS_B,NZ,heads,invasive,NZ25,HAS,low_sugar,NZ_LS_58,NZ_LS_B,NZHAS-4
