"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"2463","LOC105669745","gene4499","runt-related transcription factor 1",3918
"4672","LOC105671954","gene6440","phosphoribosyl pyrophosphate synthase-associated protein 2",1441.5
"9990","LOC105677271","gene11266","glycine-rich RNA-binding protein 3, mitochondrial-like",1397
"8795","LOC105676076","gene10241","T-complex protein 1 subunit delta",2093
"8804","LOC105676085","gene10240","N-acetylgalactosaminyltransferase 7-like",640
"2986","LOC105670268","gene4939","sodium/potassium/calcium exchanger 4-like",1868
"4683","LOC105671965","gene6374","cone-rod homeobox protein",3185
"3834","LOC105671116","gene5634","interleukin enhancer-binding factor 2",1334
"1118","LOC105668400","gene3036","methyltransferase-like protein 5",1094
"11459","LOC105678740","gene12521","uncharacterized LOC105678740",1320
"11453","LOC105678734","gene12522","uncharacterized LOC105678734",1959
"3905","LOC105671187","gene5934","hsp70-binding protein 1",1254
"6681","LOC105673963","gene8196","peptidyl-prolyl cis-trans isomerase H-like",1125.33333333333
"392","LOC105667674","gene2527","uncharacterized LOC105667674",1661
"4573","LOC105671855","gene6344","glycerophosphodiester phosphodiesterase 1",1906
"9780","LOC105677061","gene11077","uncharacterized LOC105677061",744
"9719","LOC105677000","gene11073","MOB kinase activator-like 2",1823
"9720","LOC105677001","gene11072","uncharacterized LOC105677001",2272
"9779","LOC105677060","gene11079","ubiquilin-1",3949
"9178","LOC105676459","gene10386","protein slowmo",1394
"10204","LOC105677485","gene11387","60S ribosomal protein L5",2156.5
"10202","LOC105677483","gene11386","mitochondrial-processing peptidase subunit alpha",1984.5
"8341","LOC105675622","gene9461","retinoid-inducible serine carboxypeptidase-like",1445
"10707","LOC105677988","gene11926","odorant receptor 83a-like",1130
"5331","LOC105672613","gene6984","lymphocyte cytosolic protein 2-like",2486
"3003","LOC105670285","gene533","actin cytoskeleton-regulatory complex protein PAN1-like",1315
"5467","LOC105672749","gene7169","dnaJ homolog subfamily C member 2",2630
"5619","LOC105672901","gene7293","putative odorant-binding protein A10",893
"523","LOC105667805","gene2663","protein lethal(2)essential for life-like",1005
"525","LOC105667807","gene2662","protein lethal(2)essential for life-like",963
"11078","LOC105678359","gene12261","uncharacterized LOC105678359",1421
"9111","LOC105676392","gene10399","putative gustatory receptor 28a",1558
"11886","LOC105679167","gene12900","protein tumorous imaginal discs, mitochondrial-like",1856
"10475","LOC105677756","gene11714","heat shock protein DDB_G0288861-like",2147
"891","LOC105668173","gene2982","uncharacterized LOC105668173",945
"7038","LOC105674320","gene8745","zinc finger protein 17-like",1284
