"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"10997","LOC105678278","gene12246","uncharacterized LOC105678278",1755.33333333333
"11027","LOC105678308","gene12249","phosphatidylinositol 3-kinase catalytic subunit type 3",3036
"7877","LOC105675158","gene9376","brain-specific angiogenesis inhibitor 3-like",4487
"11457","LOC105678738","gene12524","uncharacterized LOC105678738",716
"1115","LOC105668397","gene3034","exportin-6-A",3454
"4168","LOC105671450","gene5936","neurogenic locus protein delta",7263
"6065","LOC105673347","gene7763","testis-specific serine/threonine-protein kinase 1-like",1916
"9778","LOC105677059","gene11078","protein SMG5",3604
"9072","LOC105676353","gene10383","uncharacterized LOC105676353",4903.5
"9189","LOC105676470","gene10652","MAP/microtubule affinity-regulating kinase 3-like",2799
"215","LOC105667497","gene2401","pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like",1205
"4089","LOC105671371","gene5980","RAD50-interacting protein 1",2796
"11801","LOC105679082","gene12906","uncharacterized LOC105679082",5107.5
"895","LOC105668177","gene2984","parafibromin",2110
"894","LOC105668176","gene2985","doublesex and mab-3 related transcription factor 3, truncated-like",1315
"2620","LOC105669902","gene493","uncharacterized LOC105669902",748
"2974","LOC105670256","gene4910","nucleoporin-like protein 2",2341
"10887","LOC105678168","gene12096","GMP synthase [glutamine-hydrolyzing]",2404.33333333333
"7279","LOC105674561","gene8683","uncharacterized LOC105674561",675.5
"7277","LOC105674559","gene8682","protein scabrous-like",3064
"9115","LOC105676396","gene10638","uncharacterized LOC105676396",1910.5
"7441","LOC105674722","gene8976","polyhomeotic-proximal chromatin protein",4484
"362","LOC105667644","gene2468","RNA polymerase II-associated protein 1",4047
"4716","LOC105671998","gene6510","hemicentin-1-like",5013.25
"590","LOC105667872","gene2686","uncharacterized protein KIAA2013 homolog",2408
"535","LOC105667817","gene2684","uncharacterized LOC105667817",5768
"149","LOC105667431","gene2331","uncharacterized LOC105667431",870
"11148","LOC105678429","gene12285","glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like",1826.16666666667
"2495","LOC105669777","gene4452","metaxin-2",1216.5
"9875","LOC105677156","gene11223","uncharacterized aarF domain-containing protein kinase 2-like",2690
"5952","LOC105673234","gene7482","abnormal spindle-like microcephaly-associated protein homolog",5238
"5844","LOC105673126","gene7486","lisH domain and HEAT repeat-containing protein KIAA1468 homolog",4966.66666666667
"7135","LOC105674417","gene8769","autophagy-related protein 2 homolog B",6695.66666666667
"405","LOC105667687","gene2543","uncharacterized LOC105667687",3171
"10766","LOC105678047","gene1220","uncharacterized LOC105678047",6485
"7508","LOC105674789","gene9145","uncharacterized LOC105674789",3040
"7971","LOC105675252","gene9418","DNA ligase 4",3212
"9783","LOC105677064","gene11039","zinc finger CCCH domain-containing protein 13",5049.5
"2762","LOC105670044","gene4666","von Willebrand factor A domain-containing protein 8",6053
