organism,accession,name
Acute bee paralysis virus,NP_066242.1,capsid protein [Acute bee paralysis virus]
Black queen cell virus,NP_620564.1,nonstructural polyprotein [Black queen cell virus]
Black queen cell virus,NP_620565.1,structural polyprotein [Black queen cell virus]
Aphid lethal paralysis virus,NP_733845.1,nonstructural polyprotein [Aphid lethal paralysis virus]
Aphid lethal paralysis virus,NP_733846.1,"capsid protein precursor, partial [Aphid lethal paralysis virus]"
Kashmir bee virus,NP_851403.1,non-structural polyprotein [Kashmir bee virus]
Varroa destructor virus 1,YP_145791.1,polyprotein [Varroa destructor virus 1]
Deformed wing virus,NP_853560.2,polyprotein [Deformed wing virus]
Kashmir bee virus,NP_851404.2,"structural polyprotein, partial [Kashmir bee virus]"
Israeli acute paralysis virus,YP_001040002.1,polymerase polyprotein [Israeli acute paralysis virus]
King virus,YP_009315906.1,polyprotein [King virus]
Linepithema humile picorna-like virus 1,AXA52544.1,putative RdRp [Linepithema humile picorna-like virus 1]
Linepithema humile picorna-like virus 1,AXA52545.1,putative capsid [Linepithema humile picorna-like virus 1]
Linepithema humile narna-like virus 1,AXA52546.1,putative RdRp [Linepithema humile narna-like virus 1]
Linepithema humile narna-like virus 1,AXA52547.1,hypothetical protein [Linepithema humile narna-like virus 1]
Linepithema humile bunyan-like virus 1,AXA52548.1,putative RdRp-complex [Linepithema humile bunyan-like virus 1]
Linepithema humile partiti-like virus 1,AXA52550.1,putative RdRp [Linepithema humile partiti-like virus 1]
Linepithema humile partiti-like virus 1,AXA52551.1,putative capsid [Linepithema humile partiti-like virus 1]
Linepithema humile qinvirus-like virus 1,AXA52552.1,putative RdRp-complex [Linepithema humile qinvirus-like virus 1]
Linepithema humile qinvirus-like virus 1,AXA52553.1,putative capsid [Linepithema humile qinvirus-like virus 1]
Linepithema humile toti-like virus 1,AXA52554.1,putative RdRp-complex [Linepithema humile toti-like virus 1]
Linepithema humile toti-like virus 1,AXA52555.1,putative poly-capsid [Linepithema humile toti-like virus 1]
Linepithema humile C virus 1,AXA52556.1,hypothetical protein [Linepithema humile C virus 1]
Linepithema humile C virus 1,AXA52557.1,"putative RdRp, partial [Linepithema humile C virus 1]"
Linepithema humile C virus 1,AXA52559.1,putative capsid [Linepithema humile C virus 1]
Linepithema humile C virus 1,AXA52561.1,hypothetical protein [Linepithema humile C virus 1]
Linepithema humile rhabdo-like virus 1,AXA52562.1,putative RdRp-complex [Linepithema humile rhabdo-like virus 1]
Linepithema humile rhabdo-like virus 1,AXA52566.1,putative capsid [Linepithema humile rhabdo-like virus 1]
Linepithema humile polycipivirus 1,AXA52568.1,putative RdRp [Linepithema humile polycipivirus 1]
Linepithema humile polycipivirus 2,AXA52574.1,putative RdRp-complex [Linepithema humile polycipivirus 2]
Linepithema humile polycipivirus 2,AXA52578.1,putative capsid [Linepithema humile polycipivirus 2]
Linepithema humile virus 1,AXA52580.1,putative capsid [Linepithema humile virus 1]
