"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"10999","LOC105678280","gene12245","uncharacterized LOC105678280",2165
"10998","LOC105678279","gene12247","G kinase-anchoring protein 1-like",1607
"2653","LOC105669935","gene4565","deoxyuridine 5'-triphosphate nucleotidohydrolase",638
"2577","LOC105669859","gene4494","uncharacterized LOC105669859",3308
"981","LOC105668263","gene3119","mucin-5AC",4646
"1077","LOC105668359","gene3110","ubiquitin-conjugating enzyme E2-17 kDa",2689
"8897","LOC105676178","gene10304","high affinity cationic amino acid transporter 1-like",2676.5
"8898","LOC105676179","gene10305","uncharacterized LOC105676179",1007
"8908","LOC105676189","gene10300","transmembrane emp24 domain-containing protein 5-like",1078
"9992","LOC105677273","gene11268","solute carrier family 25 member 40-like",1546
"9994","LOC105677275","gene11269","uncharacterized LOC105677275",563
"9957","LOC105677238","gene11262","activator of basal transcription 1-like",873
"9952","LOC105677233","gene11265","coiled-coil domain-containing protein 65-like",2643
"8814","LOC105676095","gene10243","cysteine-rich PDZ-binding protein",598.5
"8879","LOC105676160","gene10245","ubiquitin-conjugating enzyme E2 N",2212
"3607","LOC105670889","gene5452","striatin-interacting protein 1-like",3395
"3609","LOC105670891","gene5454","coiled-coil-helix-coiled-coil-helix domain-containing protein 1",571
"1706","LOC105668988","gene3714","uncharacterized LOC105668988",1179
"12897","LOC105680178","gene213","",265
"12868","LOC105680149","gene216","lipase 3-like",1427.5
"6232","LOC105673514","gene7917","ubiquitin carboxyl-terminal hydrolase 12",1945.5
"6604","LOC105673886","gene8232","uncharacterized LOC105673886",1609
"6603","LOC105673885","gene8233","28S ribosomal protein S10, mitochondrial",763
"6236","LOC105673518","gene7918","60S ribosomal protein L21",776
"7163","LOC105674445","gene8729","cytochrome c oxidase assembly protein COX11, mitochondrial",997
"2984","LOC105670266","gene4936","sodium/potassium/calcium exchanger 3-like",2195
"2990","LOC105670272","gene4935","polyglutamine-binding protein 1",1191
"2992","LOC105670274","gene4934","cdc42 homolog",2481
"3021","LOC105670303","gene4930","mitochondrial-processing peptidase subunit beta-like",1891
"3030","LOC105670312","gene4900","uncharacterized LOC105670312",722
"7745","LOC105675026","gene9233","uncharacterized LOC105675026",876
"47","LOC105667329","gene2219","eukaryotic translation elongation factor 1 epsilon-1",760
"3833","LOC105671115","gene5632","serine protease persephone-like",1427
"12802","LOC105680083","gene2099","uncharacterized LOC105680083",1350
"2622","LOC105669904","gene4555","peroxisomal membrane protein PEX14",1296
"2560","LOC105669842","gene4550","arginyl-tRNA--protein transferase 1",2209.33333333333
"1086","LOC105668368","gene3279","serum response factor-binding protein 1-like",1759
"7739","LOC105675020","gene9230","CDK5 regulatory subunit-associated protein 3",1792
"2801","LOC105670083","gene4720","THAP domain-containing protein 2-like",637
"6662","LOC105673944","gene8193","transmembrane protein 11 homolog, mitochondrial",2477
"1119","LOC105668401","gene3037","SOSS complex subunit C",562
"5685","LOC105672967","gene7358","rhomboid-related protein 4-like",954
"5684","LOC105672966","gene7357","xaa-Pro aminopeptidase 1",2238
"5693","LOC105672975","gene7354","nuclear receptor-binding factor 2-like",957
"5692","LOC105672974","gene7353","tubulin alpha chain, testis-specific-like",1965
"5650","LOC105672932","gene7350","probable sulfite oxidase, mitochondrial",1927
"4500","LOC105671782","gene6346","39S ribosomal protein L37, mitochondrial",1383
"4501","LOC105671783","gene6347","cyclin-dependent kinase 20",1167.66666666667
"4550","LOC105671832","gene6342","DNA repair protein XRCC3-like",1152
"4548","LOC105671830","gene6343","serine/threonine-protein kinase rio1",1897
"3763","LOC105671045","gene5606","uncharacterized LOC105671045",3134
"3759","LOC105671041","gene5609","LIX1-like protein",2262
"7225","LOC105674507","gene931","dynein light chain 1, axonemal-like",962
"1629","LOC105668911","gene392","uncharacterized LOC105668911",669
"5082","LOC105672364","gene6831","mitochondrial assembly of ribosomal large subunit protein 1",889
"6068","LOC105673350","gene7766","anaphase-promoting complex subunit 10",1070.5
"6063","LOC105673345","gene7764","uncharacterized LOC105673345",4923
"6061","LOC105673343","gene7762","histone acetyltransferase type B catalytic subunit",1464
"9803","LOC105677084","gene11076","thioredoxin-like protein 4A",887
"9802","LOC105677083","gene11075","receptor-type tyrosine-protein phosphatase beta",5186.4
"9670","LOC105676951","gene11074","60S ribosomal protein L10a",779.5
"9177","LOC105676458","gene10387","ATPase WRNIP1-like",1706.66666666667
"9078","LOC105676359","gene10382","partitioning defective 3 homolog",4301
"9176","LOC105676457","gene10388","uncharacterized protein At4g17910-like",1901
"9174","LOC105676455","gene10389","EGF domain-specific O-linked N-acetylglucosamine transferase",1919.5
"10206","LOC105677487","gene11385","anamorsin homolog",1886
"8014","LOC105675295","gene9462","syntaxin-12",1650
"8150","LOC105675431","gene9463","eukaryotic translation initiation factor 2 subunit 2",1189
"8024","LOC105675305","gene9606","oxysterol-binding protein-related protein 11",996
"1963","LOC105669245","gene3916","ejaculatory bulb-specific protein 3-like",775
"8334","LOC105675615","gene9608","cellular tumor antigen p53",1694
"9190","LOC105676471","gene10651","39S ribosomal protein L41, mitochondrial",780.5
"8963","LOC105676244","gene10655","histone acetyltransferase Tip60",1886
