qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,database
TRINITY_DN38729_c0_g1,NP_851404.2,98.02,504,10,0,1736,225,385,888,0,966,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN42515_c0_g1,NP_066242.1,98.04,102,2,0,2,307,229,330,8.00E-59,197,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN9400_c0_g1,NP_620564.1,95.68,139,6,0,417,1,798,936,4.00E-78,256,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN1468_c0_g2,NP_733845.1,97.48,119,3,0,359,3,1873,1991,8.00E-75,246,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN1468_c0_g3,NP_733845.1,97.71,131,3,0,393,1,1873,2003,5.00E-83,270,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN30012_c0_g1,NP_066242.1,95.89,462,19,0,1403,18,453,914,0,870,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN30012_c0_g2,NP_066242.1,98.04,153,3,0,3,461,307,459,4.00E-97,304,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN36143_c0_g1,NP_733846.1,95.56,180,8,0,1,540,628,807,9.00E-116,360,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN36143_c0_g2,NP_733846.1,91.95,174,14,0,1,522,588,761,3.00E-96,301,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN36143_c0_g3,NP_733846.1,91.6,131,10,1,1,393,465,594,7.00E-77,248,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN44877_c0_g1,NP_853560.2,100,119,0,0,3,359,1977,2095,4.00E-78,256,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN33755_c0_g2,NP_851403.1,98.73,315,4,0,1,945,1308,1622,0,627,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN33740_c0_g1,NP_853560.2,98.67,377,5,0,3,1133,2517,2893,0,782,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN30886_c0_g1,NP_853560.2,97.35,151,4,0,455,3,2415,2565,1.00E-87,285,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN30886_c0_g2,NP_853560.2,98.01,151,3,0,455,3,2415,2565,1.00E-103,331,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN44786_c0_g1,YP_009315906.1,97.58,124,3,0,3,374,2815,2938,2.00E-77,255,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN33616_c0_g1,NP_851403.1,98.6,358,5,0,40,1113,933,1290,0,736,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN43190_c0_g1,YP_145791.1,99.38,161,1,0,483,1,2116,2276,7.00E-107,341,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN7211_c0_g1,NP_733846.1,96.55,116,4,0,1,348,88,203,2.00E-114,241,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN7211_c0_g2,NP_733846.1,96.55,116,4,0,1,348,88,203,3.00E-78,241,RefSeq viral protein database (19 Nov 2018)
