"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"2554","LOC105669836","gene4492","protein 5NUC-like",2438.33333333333
"2555","LOC105669837","gene4493","apyrase",1976
"8927","LOC105676208","gene10306","uncharacterized LOC105676208",1144
"12798","LOC105680079","gene2093","uncharacterized LOC105680079",999
"12797","LOC105680078","gene2094","thyrotropin-releasing hormone receptor-like",1307
"1085","LOC105668367","gene3278","uncharacterized protein PB18E9.04c",2576
"5220","LOC105672502","gene7000","alpha-tocopherol transfer protein-like",1364
"3768","LOC105671050","gene5601","GATA-binding factor A-like",4114.5
"9074","LOC105676355","gene10384","diacylglycerol O-acyltransferase 1",2518
"3071","LOC105670353","gene4987","sodium-dependent nutrient amino acid transporter 1-like",2910
"10708","LOC105677989","gene11927","uncharacterized LOC105677989",1054.5
"10150","LOC105677431","gene11511","SEC14-like protein 2",2462.5
"520","LOC105667802","gene2669","glycine receptor subunit alpha-4",2298.25
"11081","LOC105678362","gene12262","uncharacterized LOC105678362",1757.95
"5022","LOC105672304","gene6728","uncharacterized LOC105672304",1381.6
"6642","LOC105673924","gene8218","multifunctional protein ADE2",1867
"3178","LOC105670460","gene5060","MFS-type transporter SLC18B1-like",4076
"2650","LOC105669932","gene496","",633
"3854","LOC105671136","gene5660","serine protease 52-like",1767
"6599","LOC105673881","gene8231","beta-1,3-glucan-binding protein-like",1776
"12658","LOC105679939","gene1965","short-chain dehydrogenase/reductase family 16C member 6",2406.66666666667
"963","LOC105668245","gene3269","glucose dehydrogenase [FAD, quinone]-like",2345
"10678","LOC105677959","gene11909","2-oxoglutarate dehydrogenase, mitochondrial-like",4002
"383","LOC105667665","gene2526","ABC transporter G family member 23-like",2450.5
"8507","LOC105675788","gene9881","transient receptor potential channel pyrexia-like",2806
"4718","LOC105672000","gene6515","luciferin 4-monooxygenase-like",2322
"1281","LOC105668563","gene3335","uncharacterized LOC105668563",414
"9868","LOC105677149","gene11220","uncharacterized LOC105677149",6290
"3577","LOC105670859","gene5419","leucine-rich repeat-containing protein egg-6-like",1434
"3576","LOC105670858","gene5418","leucine-rich repeat-containing protein egg-6-like",1662
"2753","LOC105670035","gene4613","fatty acyl-CoA reductase 1-like",1469
"7788","LOC105675069","gene962","cytochrome P450 9e2-like",1711
"3983","LOC105671265","gene615","retinol dehydrogenase 12",986.5
"11515","LOC105678796","gene12707","uncharacterized LOC105678796",2129
"3852","LOC105671134","gene5640","cytosol aminopeptidase-like",2149
"11503","LOC105678784","gene12742","protein toll-like",4168
"12634","LOC105679915","gene1943","myosin-IB",4058.33333333333
"10882","LOC105678163","gene12115","uncharacterized LOC105678163",843
"1846","LOC105669128","gene3847","protein transport protein Sec23A",2722
"9897","LOC105677178","gene11208","alpha-2-macroglobulin-like protein 1",7310
"7590","LOC105674871","gene9121","fatty-acid amide hydrolase 2-like",2153.5
"11892","LOC105679173","gene12859","histidine decarboxylase",2981
"14","LOC105667296","gene2201","uncharacterized LOC105667296",814
"11480","LOC105678761","gene12580","serine protease inhibitor 3/4-like",1726.73333333333
"12876","LOC105680157","gene2162","proton-coupled amino acid transporter 1",2940
"1784","LOC105669066","gene3785","FMRFamide receptor-like",1624
"1785","LOC105669067","gene3784","C-C chemokine receptor type 3-like",2083
"1786","LOC105669068","gene3783","uncharacterized LOC105669068",698
"6840","LOC105674122","gene8420","integrin beta-PS-like",2750
"10972","LOC105678253","gene12138","pancreatic triacylglycerol lipase-like",1311.5
"1334","LOC105668616","gene3378","uncharacterized LOC105668616",1164
"9951","LOC105677232","gene11259","peroxisomal hydratase-dehydrogenase-epimerase-like",1903
"839","LOC105668121","gene2960","protein toll-like",2697.33333333333
"870","LOC105668152","gene2961","uncharacterized LOC105668152",2491
"3630","LOC105670912","gene5462","RNA-binding protein 47-like",2271
"6432","LOC105673714","gene7992","opsin, ultraviolet-sensitive",1785
"10570","LOC105677851","gene11777","uncharacterized LOC105677851",1374
"5595","LOC105672877","gene7279","uncharacterized LOC105672877",3718
"1564","LOC105668846","gene380","uncharacterized LOC105668846",436
"11244","LOC105678525","gene12304","leukocyte elastase inhibitor",3615
"3386","LOC105670668","gene5203","cytochrome P450 4C1-like",2024.5
"10093","LOC105677374","gene11436","uncharacterized LOC105677374",3051
"7452","LOC105674733","gene8996","opsin, blue-sensitive",1752
"1478","LOC105668760","gene3429","probable chitinase 2",1924.5
"12134","LOC105679415","gene1483","uncharacterized LOC105679415",724.5
"4043","LOC105671325","gene5746","poly(U)-specific endoribonuclease homolog",2088
"5752","LOC105673034","gene7420","PI-PLC X domain-containing protein 1-like",2308.5
"6657","LOC105673939","gene8293","UPF0489 protein C5orf22 homolog",1395
"2996","LOC105670278","gene534","uncharacterized LOC105670278",982
"11144","LOC105678425","gene1249","NADH-cytochrome b5 reductase 3",2079
"10902","LOC105678183","gene1240","uncharacterized LOC105678183",1640.33333333333
"5031","LOC105672313","gene6735","epoxide hydrolase 4-like",3073
"4991","LOC105672273","gene6734","uncharacterized LOC105672273",281
"4572","LOC105671854","gene671","uncharacterized LOC105671854",3921
"2254","LOC105669536","gene4200","uncharacterized LOC105669536",1167
"12785","LOC105680066","gene2082","uncharacterized LOC105680066",2294.8
"2359","LOC105669641","gene4319","uncharacterized LOC105669641",1861
"2278","LOC105669560","gene4206","inositol oxygenase",1072
"5346","LOC105672628","gene6923","esterase FE4-like",2398
"8373","LOC105675654","gene9801","",403
"12524","LOC105679805","gene1718","mitochondrial coenzyme A transporter SLC25A42",2715.33333333333
"4230","LOC105671512","gene5838","uncharacterized LOC105671512",2237.25
"8781","LOC105676062","gene10165","protein henna",1721.5
"11083","LOC105678364","gene12266","uncharacterized LOC105678364",588
"5665","LOC105672947","gene7343","venom dipeptidyl peptidase 4",3093
"9068","LOC105676349","gene10465","H/ACA ribonucleoprotein complex subunit 1-like",1875
"11445","LOC105678726","gene12692","uncharacterized LOC105678726",1657
"12184","LOC105679465","gene1528","putative fatty acyl-CoA reductase CG5065",1179
"1627","LOC105668909","gene391","putative nuclease HARBI1",988
"10462","LOC105677743","gene11645","rhodopsin-like",563
"3941","LOC105671223","gene5858","facilitated trehalose transporter Tret1-like",4792
"10441","LOC105677722","gene11711","insulin-like growth factor-binding protein complex acid labile subunit",1292
"6204","LOC105673486","gene7926","uncharacterized LOC105673486",2209
"1489","LOC105668771","gene3462","cytochrome P450 6A1-like",2653
"3861","LOC105671143","gene5701","uncharacterized LOC105671143",1329
"4333","LOC105671615","gene6173","zinc finger protein 76-like",3428
"9971","LOC105677252","gene11284","heparan sulfate 2-O-sulfotransferase pipe",2938.33333333333
"9969","LOC105677250","gene11285","slit homolog 2 protein-like",2575.5
"2064","LOC105669346","gene4036","C-C chemokine receptor type 3-like",1458
"2071","LOC105669353","gene4037","thyrotropin-releasing hormone receptor-like",1912
"6602","LOC105673884","gene79","uncharacterized LOC105673884",780
"2181","LOC105669463","gene4157","cryptochrome-1-like",2299.66666666667
"4696","LOC105671978","gene6449","uncharacterized LOC105671978",418
"5245","LOC105672527","gene6883","venom allergen 3-like",832
"6255","LOC105673537","gene7823","farnesol dehydrogenase-like",1190
"8888","LOC105676169","gene10290","catalase-like",1983
"3681","LOC105670963","gene5511","uncharacterized LOC105670963",1417.5
"777","LOC105668059","gene2883","putative fatty acyl-CoA reductase CG5065",1680
"9352","LOC105676633","gene10671","MAM and LDL-receptor class A domain-containing protein 2-like",2330
"11805","LOC105679086","gene1341","uncharacterized LOC105679086",1000
"2186","LOC105669468","gene4139","transient receptor potential protein",4026
"2166","LOC105669448","gene4136","probable G-protein coupled receptor 139",1635
"2189","LOC105669471","gene4135","uncharacterized LOC105669471",729
"2153","LOC105669435","gene4131","poly(U)-specific endoribonuclease homolog",2623
"7155","LOC105674437","gene8589","aquaporin-like",2434.5
"7150","LOC105674432","gene8584","forkhead box protein D1-like",3714.4
"8573","LOC105675854","gene9985","uncharacterized LOC105675854",2961
