"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"1194","LOC105668476","gene3113","proton-coupled amino acid transporter 1",2419
"9179","LOC105676460","gene10385","uncharacterized LOC105676460",4859.5
"2971","LOC105670253","gene4919","uncharacterized LOC105670253",813
"4514","LOC105671796","gene6306","elongation of very long chain fatty acids protein 7-like",1216
"11708","LOC105678989","gene12799","carbonic anhydrase 2-like",1190.5
"9201","LOC105676482","gene10401","adenosine deaminase CECR1-like",2254
"9200","LOC105676481","gene10405","uncharacterized LOC105676481",1986
"9202","LOC105676483","gene10406","odorant receptor 4-like",2578.25
"11475","LOC105678756","gene12588","farnesyl pyrophosphate synthase",1537.25
"8983","LOC105676264","gene10369","fumarylacetoacetase",1476
"9004","LOC105676285","gene10363","uncharacterized LOC105676285",884
"2490","LOC105669772","gene4415","protein transport protein Sec61 subunit alpha isoform 2",2347
"1102","LOC105668384","gene3193","plancitoxin-1",1901
"5938","LOC105673220","gene7507","UDP-galactose translocator",1260.75
"884","LOC105668166","gene2966","alpha-tocopherol transfer protein-like",1148.66666666667
"2225","LOC105669507","gene4264","translocating chain-associated membrane protein 1",1755
"10193","LOC105677474","gene11432","elongation of very long chain fatty acids protein AAEL008004-like",876.5
"7453","LOC105674734","gene8991","zinc transporter ZIP11",2796.33333333333
"7157","LOC105674439","gene8726","lysosomal alpha-glucosidase-like",3701
"8691","LOC105675972","gene10119","protocadherin-15",7189
"9891","LOC105677172","gene11184","protein dimmed-like",2231.5
"10113","LOC105677394","gene11474","lipase 3-like",1617
"12341","LOC105679622","gene1736","EH domain-containing protein 3",4160
"1490","LOC105668772","gene3461","probable cytochrome P450 6a21",2161
"12754","LOC105680035","gene2060","uncharacterized LOC105680035",5317
"5115","LOC105672397","gene6815","tumor protein D52",2683.5
"822","LOC105668104","gene306","putative nuclease HARBI1",1376
"8120","LOC105675401","gene9520","transmembrane channel-like protein 3",4507
"8153","LOC105675434","gene9689","headcase protein",3334
"8540","LOC105675821","gene9966","major facilitator superfamily domain-containing protein 12-like",1209
"9676","LOC105676957","gene10992","G-protein coupled receptor Mth2-like",2068
"9162","LOC105676443","gene1092","uncharacterized LOC105676443",6289
"9482","LOC105676763","gene10867","uncharacterized LOC105676763",966
"3549","LOC105670831","gene5326","DNA-binding protein D-ETS-4",6146
"10053","LOC105677334","gene11317","uncharacterized LOC105677334",1076
"5415","LOC105672697","gene7107","uncharacterized LOC105672697",1912
"12479","LOC105679760","gene1879","calreticulin",1917
"11975","LOC105679256","gene13042","uncharacterized LOC105679256",416
"2461","LOC105669743","gene4504","solute carrier family 28 member 3",3080
"1019","LOC105668301","gene3223","protein mab-21-like",2594
"5268","LOC105672550","gene6861","uncharacterized LOC105672550",971
