"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"11015","LOC105678296","gene12241","protein groucho",4884.375
"11010","LOC105678291","gene12243","myelin expression factor 2",2784
"11009","LOC105678290","gene12242","protein fem-1 homolog CG6966",4630.33333333333
"2457","LOC105669739","gene4496","C-mannosyltransferase dpy-19",2974
"2455","LOC105669737","gene4497","brefeldin A-inhibited guanine nucleotide-exchange protein 3",7488.66666666667
"2553","LOC105669835","gene4491","SET and MYND domain-containing protein 4-like",2351.5
"2462","LOC105669744","gene4498","protein lozenge",4825
"2812","LOC105670094","gene4728","alpha/beta hydrolase domain-containing protein 13",1625
"1076","LOC105668358","gene3111","uncharacterized LOC105668358",1423
"1078","LOC105668360","gene3112","uncharacterized LOC105668360",5683
"1229","LOC105668511","gene3114","zinc finger protein 436",1779
"9007","LOC105676288","gene10307","uncharacterized LOC105676288",1371
"11013","LOC105678294","gene12240","integrator complex subunit 3",6220.5
"1657","LOC105668939","gene3710","RNA-binding protein 45",2435.75
"8790","LOC105676071","gene10303","transcription termination factor 2-like",3054
"8789","LOC105676070","gene10301","uncharacterized LOC105676070",5219
"1662","LOC105668944","gene3711","period circadian protein",4024
"9985","LOC105677266","gene11263","uncharacterized LOC105677266",9180.33333333333
"9964","LOC105677245","gene11260","Golgi resident protein GCP60",2801
"9962","LOC105677243","gene11261","uncharacterized LOC105677243",7663.83333333333
"9988","LOC105677269","gene11267","ribonucleases P/MRP protein subunit POP1",2934
"9989","LOC105677270","gene11264","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2",2107
"8793","LOC105676074","gene10242","uncharacterized LOC105676074",4559
"8846","LOC105676127","gene10247","protein SZT2-like",10251
"8845","LOC105676126","gene10246","E3 ubiquitin-protein ligase HUWE1",14345
"8878","LOC105676159","gene10244","uncharacterized LOC105676159",9235.70588235294
"8809","LOC105676090","gene10249","beta-1,4-N-acetylgalactosaminyltransferase bre-4",1643
"3596","LOC105670878","gene5450","ubiquitin-conjugating enzyme E2 H",8138
"3605","LOC105670887","gene5457","MAP kinase-activated protein kinase 2",5545.66666666667
"3597","LOC105670879","gene5456","dual specificity tyrosine-phosphorylation-regulated kinase 2",5789
"3598","LOC105670880","gene5455","microtubule-associated proteins 1A/1B light chain 3A-like",1732.5
"4124","LOC105671406","gene5869","putative phosphatidate phosphatase",1643
"12694","LOC105679975","gene2036","tripartite motif-containing protein 2-like",4026.4
"12903","LOC105680184","gene212","putative sodium-coupled neutral amino acid transporter 7",541
"12880","LOC105680161","gene215","dynein light chain 1, cytoplasmic",1466
"39","LOC105667321","gene219","uncharacterized LOC105667321",1505
"6596","LOC105673878","gene8234","uncharacterized LOC105673878",5193.83333333333
"6597","LOC105673879","gene8235","glycoprotein 3-alpha-L-fucosyltransferase A",4348
"6227","LOC105673509","gene7911","ankyrin repeat and BTB/POZ domain-containing protein BTBD11",7125
"6229","LOC105673511","gene7919","uncharacterized protein KIAA1841 homolog",2919
"7159","LOC105674441","gene8728","tektin-3-like",1735.5
"2987","LOC105670269","gene4937","voltage-gated potassium channel subunit beta-2",3021.66666666667
"2981","LOC105670263","gene4933","uncharacterized LOC105670263",7642.5
"3011","LOC105670293","gene4932","FERM, RhoGEF and pleckstrin domain-containing protein 1",6009.75
"2988","LOC105670270","gene4938","sodium/potassium/calcium exchanger 4-like",5345.25
"4609","LOC105671891","gene6372","microsomal triglyceride transfer protein large subunit",3897.25
"3164","LOC105670446","gene5045","semaphorin-1A-like",2253
"3153","LOC105670435","gene5046","uncharacterized LOC105670435",4176
"3165","LOC105670447","gene5047","transcription factor E2F3",2703
"12734","LOC105680015","gene2037","glucocorticoid-induced transcript 1 protein-like",2051.5
"44","LOC105667326","gene2218","kinesin-like protein KIF21A",5355.66666666667
"3039","LOC105670321","gene4907","uncharacterized LOC105670321",3811
"11509","LOC105678790","gene12740","uncharacterized LOC105678790",3989
"11639","LOC105678920","gene12744","protein toll-like",3383
"2649","LOC105669931","gene4557","cytohesin-1",3800.25
"2655","LOC105669937","gene4556","CTD nuclear envelope phosphatase 1 homolog",3177.5
"1080","LOC105668362","gene3271","uncharacterized LOC105668362",1935
"11283","LOC105678564","gene1279","uncharacterized LOC105678564",3129
"2802","LOC105670084","gene4721","zinc finger BED domain-containing protein 4-like",1923
"7126","LOC105674408","gene8622","protein hu-li tai shao",3968.875
"2814","LOC105670096","gene4726","calcium-binding mitochondrial carrier protein SCaMC-2-A",1010
"11605","LOC105678886","gene12528","uncharacterized LOC105678886",3132
