"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"11011","LOC105678292","gene12244","probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",1798
"985","LOC105668267","gene3116","putative uncharacterized protein DDB_G0294196",1543
"8889","LOC105676170","gene10302","acyl-CoA-binding protein homolog",516
"3608","LOC105670890","gene5453","glucose-6-phosphate 1-dehydrogenase",3113
"11811","LOC105679092","gene12881","protein msta, isoform B-like",2207
"12889","LOC105680170","gene214","lysosomal aspartic protease",1635
"6231","LOC105673513","gene7916","lipoyl synthase, mitochondrial",1473
"2972","LOC105670254","gene4931","glycine-rich cell wall structural protein-like",2137
"2816","LOC105670098","gene4741","tetra-peptide repeat homeobox protein 1-like",697
"10036","LOC105677317","gene11326","uncharacterized LOC105677317",663
"12804","LOC105680085","gene2098","uncharacterized LOC105680085",213
"2811","LOC105670093","gene4727","6-phosphogluconolactonase",1134
"5696","LOC105672978","gene7355","uncharacterized LOC105672978",741
"4574","LOC105671856","gene6345","very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2",1343
"5221","LOC105672503","gene7001","alpha-tocopherol transfer protein-like",1440
"6060","LOC105673342","gene7761","cilia- and flagella-associated protein 57",3823
"6062","LOC105673344","gene7760","very-long-chain enoyl-CoA reductase",1128
"10200","LOC105677481","gene11381","ATP-binding cassette sub-family B member 8, mitochondrial",2293.5
"5212","LOC105672494","gene6981","lysyl oxidase homolog 3",2352
"5203","LOC105672485","gene6986","N-acetyl-D-glucosamine kinase",1697.33333333333
"8637","LOC105675918","gene10037","uncharacterized LOC105675918",1943
"3241","LOC105670523","gene5181","probable maltase",1690.25
"3224","LOC105670506","gene5183","collagen alpha-5(IV) chain",5929
"3284","LOC105670566","gene5187","ankyrin repeat domain-containing protein 6",3789.5
"212","LOC105667494","gene2400","uncharacterized LOC105667494",2981
"214","LOC105667496","gene2403","beta-parvin",1647.33333333333
"5615","LOC105672897","gene7299","",173.8
"5637","LOC105672919","gene7295","D-aspartate oxidase",1487
"5018","LOC105672300","gene716","alpha-tocopherol transfer protein-like",853
"12043","LOC105679324","gene1405","G-protein coupled receptor Mth2-like",1963
"1185","LOC105668467","gene3135","uncharacterized LOC105668467",617
"9983","LOC105677264","gene11242","ATP synthase subunit b, mitochondrial",1087
"10501","LOC105677782","gene11718","phosphopantothenate--cysteine ligase",1675
"10433","LOC105677714","gene11719","cytochrome c oxidase subunit NDUFA4",582
"890","LOC105668172","gene2981","thyrotropin-releasing hormone receptor-like",1837
"6295","LOC105673577","gene7932","fructose-bisphosphate aldolase-like",1710.125
"10197","LOC105677478","gene1185","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",975
"3015","LOC105670297","gene4912","hemocytin",12067
"5526","LOC105672808","gene7199","beta-galactosidase",2275
"11512","LOC105678793","gene12720","amphoterin-induced protein 2-like",2233
"8001","LOC105675282","gene9711","glycerol kinase-like",1762
"4578","LOC105671860","gene6326","malate dehydrogenase, cytoplasmic",1804
"6424","LOC105673706","gene8020","glutamine synthetase 2 cytoplasmic-like",3593.33333333333
"9743","LOC105677024","gene11011","protein deglycase DJ-1zDJ-1-like",864
"6348","LOC105673630","gene7828","zinc transporter ZIP3",2514
"7883","LOC105675164","gene9372","protein-L-isoaspartate O-methyltransferase domain-containing protein 1-like",2659.4
"8526","LOC105675807","gene9880","cysteine-rich protein 1-like",754
"1808","LOC105669090","gene3821","ubiquitin-like protein 7",1688.33333333333
"6074","LOC105673356","gene7656","U3 small nucleolar ribonucleoprotein protein IMP3",5202
"4724","LOC105672006","gene6513","cell wall integrity and stress response component 3-like",960
"12094","LOC105679375","gene1429","uncharacterized LOC105679375",1729
"6685","LOC105673967","gene8247","uncharacterized LOC105673967",2633
"399","LOC105667681","gene2546","LRR receptor-like serine/threonine-protein kinase GSO2",3926
"398","LOC105667680","gene2547","probable hydroxyacid-oxoacid transhydrogenase, mitochondrial",1585
"12401","LOC105679682","gene1885","plexin domain-containing protein 1",5145
"7259","LOC105674541","gene8762","mitochondrial enolase superfamily member 1-like",1748
"7257","LOC105674539","gene8763","endothelin-converting enzyme 1-like",2901
"7089","LOC105674371","gene8768","venom serine protease-like",1536
"10472","LOC105677753","gene11733","MICOS complex subunit MIC25",1013
"10471","LOC105677752","gene11734","B-cell receptor-associated protein 31",1199
"8777","LOC105676058","gene10175","zinc transporter 1",2965
"7780","LOC105675061","gene960","",1783
"5608","LOC105672890","gene7318","lysM and putative peptidoglycan-binding domain-containing protein 3",974
"12632","LOC105679913","gene1940","protein crumbs-like",1358
"505","LOC105667787","gene2712","uncharacterized LOC105667787",2042
"2238","LOC105669520","gene4278","glucose dehydrogenase [FAD, quinone]-like",2129
"1899","LOC105669181","gene3954","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8",1032
"1880","LOC105669162","gene3951","",218.714285714286
"1898","LOC105669180","gene3952","glutathione S-transferase-like",1517
"1894","LOC105669176","gene3953","organic cation transporter protein-like",3529
"378","LOC105667660","gene2521","larval/pupal cuticle protein H1C-like",762
"3009","LOC105670291","gene4891","uncharacterized LOC105670291",719
"3007","LOC105670289","gene4892","troponin T, skeletal muscle",1785.88888888889
"3010","LOC105670292","gene4893","uncharacterized LOC105670292",2875
"5418","LOC105672700","gene7120","uncharacterized LOC105672700",870
"155","LOC105667437","gene2338","odorant receptor 22c-like",1269
"5371","LOC105672653","gene752","enolase",2094
"10880","LOC105678161","gene12114","uncharacterized LOC105678161",3083.5
"1141","LOC105668423","gene3172","",179.692307692308
"8196","LOC105675477","gene9544","astakine-like",765
"6947","LOC105674229","gene8506","uncharacterized protein C4orf29",2502
"862","LOC105668144","gene2942","1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like",1423.66666666667
"12029","LOC105679310","gene1385","DNA polymerase epsilon subunit 2",2062
"10414","LOC105677695","gene1201","uncharacterized LOC105677695",884
"4170","LOC105671452","gene638","peptidyl-prolyl cis-trans isomerase 5",1076
"2294","LOC105669576","gene4194","membrane-associated progesterone receptor component 1",2300
"11478","LOC105678759","gene12589","uncharacterized LOC105678759",487
"4736","LOC105672018","gene6490","uncharacterized LOC105672018",519
"4731","LOC105672013","gene6491","ATP synthase subunit gamma, mitochondrial",1296.5
