LOC,Name,Pathway,Type,Comment
105667498,protein Tube [KO:K04733] [EC:2.7.11.1],TOLL,NA,NA
105667577,uncharacterized protein LOC105667577 [KO:K20674] [EC:3.4.21.-],TOLL,NA,NA
105668121,protein toll-like [KO:K18809],TOLL,NA,NA
105668359,ubiquitin-conjugating enzyme E2-17 kDa [KO:K06689] [EC:2.3.2.23],Imd,NA,NA
105668576,protein toll-like [KO:K18809],TOLL,NA,NA
105668578,protein toll-like [KO:K18809],TOLL,NA,NA
105668599,LOW QUALITY PROTEIN: protein toll-like [KO:K18809],TOLL,NA,NA
105668602,protein toll-like [KO:K18809],TOLL,NA,NA
105668729,nuclear factor NF-kappa-B p100 subunit isoform X1 [KO:K02580],Imd,NA,NA
105668788,endoribonuclease Dcr-1,RNAi,NA,NA
105669395,transcription factor kayak isoform X1 [KO:K09031],Imd,NA,NA
105669425,dual specificity mitogen-activated protein kinase kinase 6 [KO:K04432] [EC:2.7.12.2],Imd,NA,NA
105669477,protein toll-like isoform X1 [KO:K18809],TOLL,NA,NA
105669925,protein argonaute-2 isoform X1,RNAi,NA,NA
105670067,serine protease nudel-like,TOLL,SPs,NA
105670179,stress-activated protein kinase JNK isoform X1 [KO:K04440] [EC:2.7.11.24],Imd,NA,NA
105670277,endoribonuclease Dicer,RNAi,NA,NA
105670314,RISC-loading complex subunit tarbp2-like,RNAi,NA,NA
105670387,putative helicase MOV-10,RNAi,NA,putative
105670610,uncharacterized 105670610,TOLL,NA,putative
105670658,protein aubergine-like,RNAi,NA,NA
105670927,venom protease-like,TOLL,SPs,NA
105671382,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 isoform X1 [KO:K04404],Imd,NA,NA
105671571,mitogen-activated protein kinase kinase kinase 4 isoform X1 [KO:K04428] [EC:2.7.11.25],Imd,NA,NA
105671646,transcription factor AP-1 [KO:K04448],Imd,NA,NA
105671698,uncharacterized 105671698,TOLL,NA,putative
105671849,serine/threonine-protein kinase pelle,TOLL,NA,NA
105672003,uncharacterized protein LOC105672003 [KO:K20699],Imd,NA,NA
105672004,FAS-associated factor 1 isoform X1 [KO:K20703],Imd,NA,NA
105672041,RISC-loading complex subunit tarbp2-like isoform X1,RNAi,NA,NA
105672091,TNF receptor-associated factor 4,JNK,NA,NA
105672144,LOW QUALITY PROTEIN: microtubule-associated protein futsch-like [KO:K10380],Imd,NA,NA
105672208,ankyrin-2-like isoform X1 [KO:K10380],Imd,NA,NA
105672519,beta-TrCP [KO:K03362],TOLL,NA,NA
105672556,signal transducer and activator of transcription 5B,JAK-STAT,NA,NA
105672601,mitogen-activated protein kinase 14B-like isoform X1 [KO:K04441] [EC:2.7.11.24],Imd,NA,NA
105672852,JNK1/MAPK8-associated membrane protein,JNK,NA,NA
105672853,peptidoglycan recognition protein-like,Imd,PGRPs,NA
105673362,limulus clotting factor C-like [KO:K20674] [EC:3.4.21.-],TOLL,NA,NA
105673363,limulus clotting factor C-like [KO:K20674] [EC:3.4.21.-],TOLL,NA,NA
105673364,serine protease 30-like [KO:K20674] [EC:3.4.21.-],TOLL,NA,NA
105673825,uncharacterized 105673825,JNK,NA,putative
105673881,"beta-1,3-glucan-binding protein-like",TOLL,NA,putative
105673935,protein aubergine-like,RNAi,NA,NA
