"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"10996","LOC105678277","gene12248","mucin-17-like",11167.6666666667
"2567","LOC105669849","gene4495","uncharacterized LOC105669849",4111.5
"2605","LOC105669887","gene4490","protein OSCP1-like",1819
"3159","LOC105670441","gene5049","uncharacterized LOC105670441",1273
"11247","LOC105678528","gene1278","odorant receptor 4-like",856
"391","LOC105667673","gene2528","tubulin glycylase 3A-like",5122
"6064","LOC105673346","gene7767","Bardet-Biedl syndrome 7 protein homolog",2726
"3055","LOC105670337","gene4985","intraflagellar transport protein 46 homolog",1381
"10888","LOC105678169","gene12094","ejaculatory bulb-specific protein 3-like",528
"7097","LOC105674379","gene8900","putative odorant receptor 85d",1766
"7584","LOC105674865","gene9085","odorant receptor 67a-like",342
"7543","LOC105674824","gene9087","uncharacterized LOC105674824",1802
"365","LOC105667647","gene2469","CB1 cannabinoid receptor-interacting protein 1-like",3534
"401","LOC105667683","gene2545","uncharacterized LOC105667683",4038
"3561","LOC105670843","gene5332","odorant receptor 13a-like",913
"3562","LOC105670844","gene5333","uncharacterized LOC105670844",1022
"8516","LOC105675797","gene9805","uncharacterized LOC105675797",804
"12635","LOC105679916","gene1944","kinesin-like protein KIF12",2774.66666666667
"9010","LOC105676291","gene10619","cilia- and flagella-associated protein 36",2506
"10791","LOC105678072","gene11969","uncharacterized LOC105678072",3737.33333333333
"3969","LOC105671251","gene5782","protein jim lovell-like",2964.75
"9203","LOC105676484","gene10403","odorant receptor 46a, isoform A-like",1198
"8941","LOC105676222","gene10404","odorant receptor 46a, isoform B-like",2161
"10418","LOC105677699","gene1208","ras-responsive element-binding protein 1",9024
"660","LOC105667942","gene2784","protein unc-119 homolog B",1705
"380","LOC105667662","gene2523","uncharacterized LOC105667662",966
"2759","LOC105670041","gene4640","beta-1,4-glucuronyltransferase 1",3656
"9244","LOC105676525","gene1102","odorant receptor Or2-like",1522
"8999","LOC105676280","gene10368","fas apoptotic inhibitory molecule 1",864
"6143","LOC105673425","gene7690","intraflagellar transport protein 52 homolog",1363
"3273","LOC105670555","gene5121","centrosomal protein of 131 kDa",2520
"10438","LOC105677719","gene11708","apoptosis-resistant E3 ubiquitin protein ligase 1",4530.8
"7550","LOC105674831","gene9106","hornerin-like",4898
"3560","LOC105670842","gene5331","odorant receptor 13a-like",1535
"3296","LOC105670578","gene5109","X-linked retinitis pigmentosa GTPase regulator",2476
"6579","LOC105673861","gene8270","oocyte zinc finger protein XlCOF6.1-like",2032
"4042","LOC105671324","gene5747","intraflagellar transport protein 81 homolog",2561
"9175","LOC105676456","gene1104","uncharacterized LOC105676456",888
"9167","LOC105676448","gene1103","uncharacterized LOC105676448",903
"551","LOC105667833","gene2746","mitochondrial sodium/hydrogen exchanger 9B2",6040
"10455","LOC105677736","gene11631","uncharacterized LOC105677736",1462
"10456","LOC105677737","gene11630","odorant receptor 4-like",1600
"10349","LOC105677630","gene11635","odorant receptor 13a-like",1244
"10348","LOC105677629","gene11634","odorant receptor Or2-like",1792
"10459","LOC105677740","gene11636","odorant receptor 4-like",661
"10351","LOC105677632","gene11638","odorant receptor 9a-like",1242
"10124","LOC105677405","gene11459","THAP domain-containing protein 4-like",694
"6929","LOC105674211","gene8463","Bardet-Biedl syndrome 4 protein homolog",1849
"8513","LOC105675794","gene9809","odorant receptor 30a-like",634
"3378","LOC105670660","gene5225","sulfotransferase 1C4-like",1542
